,alpha,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
1,0.1,-0.7899745186831325,0.0011413194587837354,-0.9994934362160318,3.115488371325405e-05,1,0.023520469665527344
2,0.01,-0.769271539527601,0.0022181386482787485,-0.9996255875293656,0.00013575942622739634,2,0.024610439936319988
0,1,-0.7620473395151772,0.001543567193480393,-0.9753545840980942,0.0003783105280524824,3,0.025293906529744465
3,0.001,-0.761915343904996,0.0015874070537722656,-0.9996255875293656,0.00013575942622739634,4,0.023867448170979817
4,0.0001,-0.7597569650981651,0.0020449187129592157,-0.9996255875293656,0.00013575942622739634,5,0.02583964665730794
5,1e-05,-0.7587879088225989,0.002471341654174488,-0.9996255875293656,0.00013575942622739634,6,0.02779078483581543
