,penalty,C,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
1,l2,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,1,0.3239227930704753
3,l2,0.01,-0.5608756978881541,8.531013595565778e-05,-0.560853672249812,0.00012505156465730352,2,0.6728790601094564
0,none,0.001,-0.5592458021007167,0.002322407784690889,-0.562131048599548,0.0013262517079738962,3,17.611517747243244
2,none,0.01,-0.5592458021007167,0.002322407784690889,-0.562131048599548,0.0013262517079738962,3,17.766667286554974
4,none,0.1,-0.5592458021007167,0.002322407784690889,-0.562131048599548,0.0013262517079738962,3,17.995824257532757
6,none,1,-0.5592458021007167,0.002322407784690889,-0.562131048599548,0.0013262517079738962,3,18.34686764081319
8,none,10,-0.5592458021007167,0.002322407784690889,-0.562131048599548,0.0013262517079738962,3,18.225215991338093
10,none,100,-0.5592458021007167,0.002322407784690889,-0.562131048599548,0.0013262517079738962,3,18.33545684814453
12,none,1000,-0.5592458021007167,0.002322407784690889,-0.562131048599548,0.0013262517079738962,3,18.36589463551839
11,l2,100,-0.5592017628192144,0.0023824712937252075,-0.5619768776458477,0.001313230281032604,10,5.9850419362386065
9,l2,10,-0.5590255533070648,0.002818318964924831,-0.5614923320469795,0.0015771213923897953,11,3.8219053745269775
7,l2,1,-0.5587171619229038,0.003059911496538838,-0.5605232364834429,0.0021444831963838354,12,2.013239940007528
13,l2,1000,-0.5585850731818075,0.0023188231650667123,-0.5621530696951814,0.0014331593657802588,13,11.11782972017924
5,l2,0.1,-0.5556778985344267,0.0015837577222810213,-0.5586291981479053,0.0008131286700268011,14,1.2933065096537273
