,penalty,C,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
1,l2,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,1,0.1258260409037272
11,l2,100,-0.5594219825094553,0.0015224506410858865,-0.5623953483156824,0.0013341589617479888,2,3.7027409076690674
9,l2,10,-0.5592457089698016,0.002770402211300364,-0.5618667605255475,0.0012142617899221855,3,3.3665743668874106
0,none,0.001,-0.5589374631026955,0.0012110212001331699,-0.5626155927431497,0.0013616609902194707,4,6.429840882619222
2,none,0.01,-0.5589374631026955,0.0012110212001331699,-0.5626155927431497,0.0013616609902194707,4,6.585114638010661
4,none,0.1,-0.5589374631026955,0.0012110212001331699,-0.5626155927431497,0.0013616609902194707,4,6.633079608281453
6,none,1,-0.5589374631026955,0.0012110212001331699,-0.5626155927431497,0.0013616609902194707,4,6.957886457443237
8,none,10,-0.5589374631026955,0.0012110212001331699,-0.5626155927431497,0.0013616609902194707,4,6.886384010314941
10,none,100,-0.5589374631026955,0.0012110212001331699,-0.5626155927431497,0.0013616609902194707,4,7.033922592798869
12,none,1000,-0.5589374631026955,0.0012110212001331699,-0.5626155927431497,0.0013616609902194707,4,6.940299908320109
13,l2,1000,-0.5588934354625574,0.0008700926214736273,-0.5628358357153501,0.0013166548168560537,11,3.4307267665863037
3,l2,0.01,-0.5588493670776441,0.0012758868715012667,-0.5590036251712066,0.0004742712883297257,12,0.3092840512593587
7,l2,1,-0.5587612768732748,0.0010676420797450987,-0.5616685473805804,0.0009334909794993736,13,1.5991834004720051
5,l2,0.1,-0.5583648942363418,0.0013541905448013016,-0.5600607672803425,0.0016701312822719118,14,0.6684866746266683
