,rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,neurons_layer_1,neurons_layer_2,neurons_layer_3,dropout_1,dropout_2,learning_rate,dropout_3,neurons_layer_4,kernel_size,mean_fit_time
63,16,-0.6752269069353739,0.0013506080812733228,-0.7238568663597107,0.003246067488976819,relu,256,20,256,128,64,0.5,0.3,0.0001,0.1,32,5,289.55577270189923
37,17,-0.6716148058573405,0.0020051642801158353,-0.7472910682360331,0.002223309352530246,relu,256,20,256,128,64,0.5,0.5,0.001,0.3,32,5,278.49160448710126
22,18,-0.6701611280441284,0.001498930437077085,-0.7703727881113688,0.004826168080895877,relu,128,20,256,128,64,0.5,0.3,0.001,0.3,32,3,204.97875634829202
31,19,-0.6694124738375345,0.0014460684611926958,-0.7759889562924703,0.0021890844855552627,relu,128,20,256,128,64,0.5,0.3,0.001,0.1,32,3,204.6109937032064
41,20,-0.6688398122787476,0.0014875141179146827,-0.7377762993176779,0.004700964127516756,relu,256,20,256,128,64,0.5,0.5,0.01,0.3,32,3,198.77218651771545
20,21,-0.6686635216077169,0.003254051724866502,-0.709628959496816,0.005418141437635411,relu,128,20,256,128,64,0.5,0.3,0.01,0.3,32,5,282.22667757670087
49,22,-0.6683552066485087,0.0015745075553808112,-0.7708572944005331,0.0030843886709510777,relu,256,20,256,128,64,0.5,0.5,0.001,0.1,32,3,198.08445183436075
55,23,-0.6682228446006775,0.0075315656586766215,-0.7416307926177979,0.011612470951503473,relu,256,20,256,128,64,0.5,0.3,0.001,0.3,32,5,275.91926034291583
64,24,-0.6677384972572327,0.001517600138831811,-0.7470485170682272,0.006340920258558557,relu,256,20,256,128,64,0.5,0.3,0.001,0.1,32,5,260.1243848800659
28,25,-0.6673420667648315,0.0013497787604586252,-0.7500220338503519,0.0009328996121354998,relu,128,20,256,128,64,0.5,0.3,0.001,0.1,32,5,282.7870740890503
67,26,-0.6669895450274149,0.002554862322063553,-0.773588220278422,0.0032739849756774457,relu,256,20,256,128,64,0.5,0.3,0.001,0.1,32,3,199.77902189890543
46,27,-0.6666813691457113,0.004801936033226548,-0.742027223110199,0.00651317129921486,relu,256,20,256,128,64,0.5,0.5,0.001,0.1,32,5,274.6348778406779
4,28,-0.6666374405225118,0.003337730257714941,-0.7695797284444174,0.0014992240934510242,relu,128,20,256,128,64,0.5,0.5,0.001,0.3,32,3,206.35370421409607
47,29,-0.6666371822357178,0.0020412925950494334,-0.7156417965888977,0.0007203688895367554,relu,256,20,256,128,64,0.5,0.5,0.01,0.1,32,5,276.2711706161499
5,30,-0.6663727958997091,0.0041249574925149345,-0.72599329551061,0.0004929422185635335,relu,128,20,256,128,64,0.5,0.5,0.01,0.3,32,3,204.50871094067892
19,31,-0.6659767429033915,0.0029565402063693896,-0.7487226128578186,0.003313419208712825,relu,128,20,256,128,64,0.5,0.3,0.001,0.3,32,5,281.07869148254395
59,32,-0.6659765839576721,0.002328249120579011,-0.7449124654134115,0.004039487808830212,relu,256,20,256,128,64,0.5,0.3,0.01,0.3,32,3,198.354430437088
14,33,-0.6659322579701742,0.0041945314926559955,-0.7307507395744324,0.00477398767873395,relu,128,20,256,128,64,0.5,0.5,0.01,0.1,32,3,205.2415968577067
58,34,-0.6658884882926941,0.003971161854422958,-0.7679499785105387,0.0016442412911856009,relu,256,20,256,128,64,0.5,0.3,0.001,0.3,32,3,197.2736053466797
