,criterion,min_samples_leaf,max_depth,min_samples_split,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
119,entropy,5,10,20,-0.6379612331855625,0.0029596581830120096,-0.6415513742541813,0.001021591149665905,88,3.830381393432617
121,entropy,10,10,5,-0.6373886352157978,0.0024240070942809135,-0.6400316843575434,0.0009956687622318728,89,3.8404221534729004
123,entropy,10,10,20,-0.6373886352157978,0.0024240070942809135,-0.6400316843575434,0.0009956687622318728,89,3.841550827026367
120,entropy,10,10,2,-0.6373005333700642,0.002521872335933176,-0.6400316843575434,0.0009956687622318728,91,3.848656256993612
122,entropy,10,10,10,-0.6373005333700642,0.002521872335933176,-0.6400316843575434,0.0009956687622318728,91,3.832305669784546
126,entropy,20,10,10,-0.6366839717876657,0.00035108387080175327,-0.6391066499037407,0.00120401981963965,93,3.7705941994984946
125,entropy,20,10,5,-0.6366839717876657,0.00035108387080175327,-0.6391066499037407,0.00120401981963965,93,3.7652149200439453
124,entropy,20,10,2,-0.6366839717876657,0.00035108387080175327,-0.6391066499037407,0.00120401981963965,93,3.7703126271565757
127,entropy,20,10,20,-0.6366839717876657,0.00035108387080175327,-0.6391066499037407,0.00120401981963965,93,3.7827465534210205
19,gini,1,5,20,-0.6257597096196691,0.0021784046439952747,-0.6275658189112402,0.0011031012482460504,97,3.3970018227895102
18,gini,1,5,10,-0.6256716077739355,0.0022405346478691136,-0.6277199913202073,0.0010719867854623354,98,3.39882230758667
17,gini,1,5,5,-0.6255394550053349,0.0023306262208438533,-0.6277860647939741,0.0010706264149055818,99,3.404367446899414
16,gini,1,5,2,-0.6254954040824682,0.0023648210808876907,-0.6278080888001409,0.0010865346098066228,100,3.3929718335469565
98,entropy,1,5,10,-0.6254513648009657,0.0022061889845673478,-0.627081273312372,0.0013471141129420801,101,3.502675930658976
23,gini,5,5,20,-0.6254513531596013,0.0024122428064606285,-0.6268610405270382,0.0009340012316348662,102,3.354118267695109
22,gini,5,5,10,-0.6254513531596013,0.0024122428064606285,-0.626883064533205,0.0009475993460159112,102,3.350578943888346
20,gini,5,5,2,-0.6254513531596013,0.0024122428064606285,-0.626883064533205,0.0009475993460159112,102,3.363063176472982
99,entropy,1,5,20,-0.6254073138780989,0.002235348582143558,-0.6270372253000386,0.0013066280106433148,105,3.5251932938893638
21,gini,5,5,5,-0.6254073022367345,0.002436551841625343,-0.626883064533205,0.0009475993460159112,106,3.356703281402588
97,entropy,1,5,5,-0.6253192178530473,0.0022035569451936397,-0.6271693722475722,0.0013066239510486953,107,3.508984645207723
96,entropy,1,5,2,-0.6252751611094984,0.002330642666565624,-0.6272134217151724,0.0012960456279108381,108,3.527597347895304
102,entropy,5,5,10,-0.6251430083408979,0.00242219057770875,-0.6264645967739036,0.0010327894811136232,109,3.386815309524536
100,entropy,5,5,2,-0.6251430083408979,0.00242219057770875,-0.6264645967739036,0.0010327894811136232,109,3.3768157958984375
103,entropy,5,5,20,-0.6251430083408979,0.002426992583508668,-0.6264425727677368,0.0010141281484967288,109,3.3902393182118735
101,entropy,5,5,5,-0.6250989574180311,0.0024551106662822077,-0.6264645967739036,0.0010327894811136232,112,3.3947916825612388
106,entropy,10,5,10,-0.6249668279321594,0.002205014832680182,-0.6257157616457681,0.0011071090154646075,113,3.372659206390381
107,entropy,10,5,20,-0.6249668279321594,0.002205014832680182,-0.6257157616457681,0.0011071090154646075,113,3.3530001640319824
104,entropy,10,5,2,-0.6249668279321594,0.002205014832680182,-0.6257157616457681,0.0011071090154646075,113,3.3674710591634116
105,entropy,10,5,5,-0.6249668279321594,0.002205014832680182,-0.6257157616457681,0.0011071090154646075,113,3.348275820414225
24,gini,10,5,2,-0.624878708624379,0.00252428563623589,-0.6259800569961023,0.0010636935238738465,117,3.3313096364339194
25,gini,10,5,5,-0.624878708624379,0.00252428563623589,-0.6259800569961023,0.0010636935238738465,117,3.348140001296997
26,gini,10,5,10,-0.624878708624379,0.00252428563623589,-0.6259800569961023,0.0010636935238738465,117,3.331733783086141
27,gini,10,5,20,-0.624878708624379,0.00252428563623589,-0.6259800569961023,0.0010636935238738465,117,3.3449741999308267
30,gini,20,5,10,-0.6248346868049232,0.002090173735231125,-0.6251651454836664,0.0012452873275338484,121,3.3264058430989585
29,gini,20,5,5,-0.6248346868049232,0.002090173735231125,-0.6251651454836664,0.0012452873275338484,121,3.327424685160319
31,gini,20,5,20,-0.6248346868049232,0.002090173735231125,-0.6251651454836664,0.0012452873275338484,121,3.3472091356913247
28,gini,20,5,2,-0.6248346868049232,0.002090173735231125,-0.6251651454836664,0.0012452873275338484,121,3.3251757621765137
110,entropy,20,5,10,-0.6247025514983693,0.0019196259449879858,-0.6250550181764993,0.0013832440826013473,125,3.327951987584432
109,entropy,20,5,5,-0.6247025514983693,0.0019196259449879858,-0.6250550181764993,0.0013832440826013473,125,3.342359701792399
108,entropy,20,5,2,-0.6247025514983693,0.0019196259449879858,-0.6250550181764993,0.0013832440826013473,125,3.35240372021993
