,kernel,C,gamma,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
44,rbf,10,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,212.05811270078024
47,sigmoid,10,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,184.96120635668436
46,poly,10,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,160.65776522954306
42,poly,10,0.0001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,160.42998806635538
50,poly,10,0.01,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,160.34359367688498
4,rbf,0.1,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,188.36030538876852
3,sigmoid,0.1,0.0001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,158.63347578048706
54,poly,10,0.1,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,304.16041382153827
2,poly,0.1,0.0001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,156.14685114224753
6,poly,0.1,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,156.95825950304666
7,sigmoid,0.1,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,160.68715929985046
14,poly,0.1,0.1,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,158.28106546401978
8,rbf,0.1,0.01,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,209.12532194455466
15,sigmoid,0.1,0.1,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,183.09795228640237
18,poly,0.1,1,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,384.1855471134186
20,rbf,1,0.0001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,190.15974926948547
12,rbf,0.1,0.1,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,211.51022537549338
22,poly,1,0.0001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,159.03548645973206
23,sigmoid,1,0.0001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,162.16208640734354
24,rbf,1,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,210.32865436871847
11,sigmoid,0.1,0.01,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,176.5987712542216
26,poly,1,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,159.86228140195212
27,sigmoid,1,0.001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,177.99552154541016
28,rbf,1,0.01,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,212.08693687121072
30,poly,1,0.01,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,159.63166077931723
31,sigmoid,1,0.01,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,184.14776921272278
10,poly,0.1,0.01,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,157.34426593780518
34,poly,1,0.1,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,185.48197778066
40,rbf,10,0.0001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,210.57610964775085
0,rbf,0.1,0.0001,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,30,183.42943755785623
