,criterion,n_estimators,max_depth,bootstrap,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
35,gini,100,3,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,3.1984119415283203
32,gini,100,2,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,2.218907038370768
31,gini,50,2,False,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.0984400113423665
5,gini,100,3,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,2.2463916142781577
23,entropy,100,5,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,3.6029730637868247
20,entropy,100,3,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,2.283440113067627
19,entropy,50,3,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.1456327438354492
17,entropy,100,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.649263858795166
16,entropy,50,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,0.8324206670125326
15,entropy,25,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,0.42645780245463055
2,gini,100,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.5610518897605791,2.7040738285868128e-05,38,1.6540183226267497
0,gini,25,2,True,-0.5610518899382569,5.4085014738265216e-05,-0.561139985785246,0.00010097236724140945,38,0.4461939334869385
